    TIME       CBIT        CBIT2
 [HRS UTC]                      

  17.66722     400000     1c0000
  17.66750     400000     1c0000
  17.66778     400000     1c0000
  17.66805     400000     1c0000
  17.66833     400000     1c0000
  17.66861     400000     1c0000
  17.66889     400000     1c0000
  17.66917     400000     1c0000
  17.66944     400000     1c0000
  17.66972     400000     1c0000
  17.67000     400000     1c0000
  17.67028     400000     1c0000
  17.67056     400000     1c0000
  17.67083     400000     1c0000
  17.67111     400000     1c0000
  17.67139     400000     1c0000
  17.67167     400000     1c0000
  17.67194     400000     1c0000
  17.67222     400000     1c0000
  17.67250     400000     1c0000
  17.67278     400000     1c0000
  17.67306     400000     1c0000
  17.67333     400000     1c0000
  17.67361     400000     1c0000
  17.67389     400000     1c0000
  17.67417     400000     1c0000
  17.67444     400000     1c0000
  17.67472     400000     1c0000
  17.67500     400000     1c0000
  17.67528     400000     1c0000
  17.67555     400000     1c0000
  17.67583     400000     1c0000
  17.67611     400000     1c0000
  17.67639     400000     1c0000
  17.67667     400000     1c0000
  17.67694     400000     1c0000
  17.67722     400000     1c0000
  17.67750     400000     1c0000
  17.67778     400000     1c0000
  17.67805     400000     1c0000
  17.67833     400000     1c0000
  17.67861     400000     1c0000
  17.67889     400000     1c0000
  17.67917     400000     1c0000
  17.67944     400000     1c0000
  17.67972     400000     1c0000
  17.68000     400000     1c0000
  17.68028     400000     1c0000
  17.68056     400000     1c0000
  17.68083     400000     1c0000
  17.68111     400000     1c0000
  17.68139     400000     1c0000
  17.68167     400000     1c0000
  17.68194     400000     1c0000
  17.68222     400000     1c0000
  17.68250     400000     1c0000
  17.68278     400000     1c0000
  17.68306     400000     1c0000
  17.68333     400000     1c0000
  17.68361     400000     1c0000
  17.68389     400000     1c0000
  17.68417     400000     1c0000
  17.68445     400000     1c0000
  17.68472     400000     1c0000
  17.68500     400000     1c0000
  17.68528     400000     1c0000
  17.68556     400000     1c0000
  17.68583     400000     1c0000
  17.68611     400000     1c0000
  17.68639     400000     1c0000
  17.68667     400000     1c0000
  17.68694     400000     1c0000
  17.68722     400000     1c0000
  17.68750     400000     1c0000
  17.68778     400000     1c0000
  17.68806     400000     1c0000
  17.68833     400000     1c0000
  17.68861     400000     1c0000
  17.68889     400000     1c0000
  17.68917     400000     1c0000
  17.68945     400000     1c0000
  17.68972     400000     1c0000
  17.69000     400000     1c0000
  17.69028     400000     1c0000
  17.69056     400000     1c0000
  17.69083     400000     1c0000
  17.69111     400000     1c0000
  17.69139     400000     1c0000
  17.69167     400000     1c0000
  17.69195     400000     1c0000
  17.69222     400000     1c0000
  17.69250     400000     1c0000
  17.69278     400000     1c0000
  17.69306     400000     1c0000
  17.69333     400000     1c0000
  17.69361     400000     1c0000
  17.69389     400000     1c0000
  17.69417     400000     1c0000
  17.69444     400000     1c0000
  17.69472     400000     1c0000
  17.69500     400000     1c0000
  17.69528     400000     1c0000
  17.69556     400000     1c0000
  17.69584     400000     1c0000
  17.69611     400000     1c0000
  17.69639     400000     1c0000
  17.69667     400000     1c0000
  17.69695     400000     1c0000
  17.69722     400000     1c0000
  17.69750     400000     1c0000
  17.69778     400000     1c0000
  17.69806     400000     1c0000
  17.69833     400000     1c0000
  17.69861     400000     1c0000
  17.69889     400000     1c0000
  17.69917     400000     1c0000
  17.69945     400000     1c0000
  17.69972     400000     1c0000
  17.70000     400000     1c0000
  17.70028     400000     1c0000
  17.70056     400000     1c0000
  17.70083     400000     1c0000
  17.70111     400000     1c0000
  17.70139     400000     1c0000
  17.70167     400000     1c0000
  17.70194     400000     1c0000
  17.70222     400000     1c0000
  17.70250     400000     1c0000
  17.70278     400000     1c0000
  17.70306     400000     1c0000
  17.70333     400000     1c0000
  17.70361     400000     1c0000
  17.70389     400000     1c0000
  17.70417     400000     1c0000
  17.70444     400000     1c0000
  17.70472     400000     1c0000
  17.70500     400000     1c0000
  17.70528     400000     1c0000
  17.70556     400000     1c0000
  17.70583     400000     1c0000
  17.70611     400000     1c0000
  17.70639     400000     1c0000
  17.70667     400000     1c0000
  17.70695     400000     1c0000
  17.70722     400000     1c0000
  17.70750     400000     1c0000
  17.70778     400000     1c0000
  17.70806     400000     1c0000
  17.70833     400000     1c0000
  17.70861     400000     1c0000
  17.70889     400000     1c0000
  17.70917     400000     1c0000
  17.70945     400000     1c0000
  17.70972     400000     1c0000
  17.71000     400000     1c0000
  17.71028     400000     1c0000
  17.71056     400000     1c0000
  17.71083     400000     1c0000
  17.71111     400000     1c0000
  17.71139     400000     1c0000
  17.71167     400000     1c0000
  17.71194     400000     1c0000
  17.71222     400000     1c0000
  17.71250     400000     1c0000
  17.71278     400000     1c0000
  17.71306     400000     1c0000
  17.71334     400000     1c0000
  17.71361     400000     1c0000
  17.71389     400000     1c0000
  17.71417     400000     1c0000
  17.71445     400000     1c0000
  17.71472     400000     1c0000
  17.71500     400000     1c0000
  17.71528     400000     1c0000
  17.71556     400000     1c0000
  17.71583     400000     1c0000
  17.71611     400000     1c0000
  17.71639     400000     1c0000
  17.71667     400000     1c0000
  17.71695     400000     1c0000
  17.71722     400000     1c0000
  17.71750     400000     1c0000
  17.71778     400000     1c0000
  17.71806     400000     1c0000
  17.71833     400000     1c0000
  17.71861     400000     1c0000
  17.71889     400000     1c0000
  17.71917     400000     1c0000
  17.71944     400000     1c0000
  17.71972     400000     1c0000
  17.72000     400000     1c0000
  17.72028     400000     1c0000
  17.72056     400000     1c0000
  17.72083     400000     1c0000
  17.72111     400000     1c0000
  17.72139     400000     1c0000
  17.72167     400000     1c0000
  17.72194     400000     1c0000
  17.72222     400000     1c0000
  17.72250     400000     1c0000
  17.72278     400000     1c0000
  17.72306     400000     1c0000
  17.72333     400000     1c0000
  17.72361     400000     1c0000
  17.72389     400000     1c0000
  17.72417     400000     1c0000
  17.72445     400000     1c0000
  17.72472     400000     1c0000
  17.72500     400000     1c0000
