    TIME       CBIT        CBIT2
 [HRS UTC]                      

  16.25889     400000     1c0000
  16.25917     400000     1c0000
  16.25945     400000     1c0000
  16.25972     400000     1c0000
  16.26000     400000     1c0000
  16.26028     400000     1c0000
  16.26056     400000     1c0000
  16.26083     400000     1c0000
  16.26111     400000     1c0000
  16.26139     400000     1c0000
  16.26167     400000     1c0000
  16.26194     400000     1c0000
  16.26222     400000     1c0000
  16.26250     400000     1c0000
  16.26278     400000     1c0000
  16.26306     400000     1c0000
  16.26333     400000     1c0000
  16.26361     400000     1c0000
  16.26389     400000     1c0000
  16.26417     400000     1c0000
  16.26444     400000     1c0000
  16.26472     400000     1c0000
  16.26500     400000     1c0000
  16.26528     400000     1c0000
  16.26556     400000     1c0000
  16.26583     400000     1c0000
  16.26611     400000     1c0000
  16.26639     400000     1c0000
  16.26667     400000     1c0000
  16.26694     400000     1c0000
  16.26722     400000     1c0000
  16.26750     400000     1c0000
  16.26778     400000     1c0000
  16.26805     400000     1c0000
  16.26833     400000     1c0000
  16.26861     400000     1c0000
  16.26889     400000     1c0000
  16.26917     400000     1c0000
  16.26944     400000     1c0000
  16.26972     400000     1c0000
  16.27000     400000     1c0000
  16.27028     400000     1c0000
  16.27056     400000     1c0000
  16.27083     400000     1c0000
  16.27111     400000     1c0000
  16.27139     400000     1c0000
  16.27167     400000     1c0000
  16.27194     400000     1c0000
  16.27222     400000     1c0000
  16.27250     400000     1c0000
  16.27278     400000     1c0000
  16.27306     400000     1c0000
  16.27333     400000     1c0000
  16.27361     400000     1c0000
  16.27389     400000     1c0000
  16.27417     400000     1c0000
  16.27444     400000     1c0000
  16.27472     400000     1c0000
  16.27500     400000     1c0000
  16.27528     400000     1c0000
  16.27555     400000     1c0000
  16.27583     400000     1c0000
  16.27611     400000     1c0000
  16.27639     400000     1c0000
  16.27667     400000     1c0000
  16.27695     400000     1c0000
  16.27722     400000     1c0000
  16.27750     400000     1c0000
  16.27778     400000     1c0000
  16.27806     400000     1c0000
  16.27833     400000     1c0000
  16.27861     400000     1c0000
  16.27889     400000     1c0000
  16.27917     400000     1c0000
  16.27944     400000     1c0000
  16.27972     400000     1c0000
  16.28000     400000     1c0000
  16.28028     400000     1c0000
  16.28056     400000     1c0000
  16.28083     400000     1c0000
  16.28111     400000     1c0000
  16.28139     400000     1c0000
  16.28167     400000     1c0000
  16.28194     400000     1c0000
  16.28222     400000     1c0000
  16.28250     400000     1c0000
  16.28278     400000     1c0000
  16.28305     400000     1c0000
  16.28333     400000     1c0000
  16.28361     400000     1c0000
  16.28389     400000     1c0000
  16.28417     400000     1c0000
  16.28444     400000     1c0000
  16.28472     400000     1c0000
  16.28500     400000     1c0000
  16.28528     400000     1c0000
  16.28555     400000     1c0000
  16.28583     400000     1c0000
  16.28611     400000     1c0000
  16.28639     400000     1c0000
  16.28667     400000     1c0000
  16.28694     400000     1c0000
  16.28722     400000     1c0000
  16.28750     400000     1c0000
  16.28778     400000     1c0000
  16.28806     400000     1c0000
  16.28833     400000     1c0000
  16.28861     400000     1c0000
  16.28889     400000     1c0000
  16.28917     400000     1c0000
  16.28944     400000     1c0000
  16.28972     400000     1c0000
  16.29000     400000     1c0000
  16.29028     400000     1c0000
  16.29056     400000     1c0000
  16.29083     400000     1c0000
  16.29111     400000     1c0000
  16.29139     400000     1c0000
  16.29167     400000     1c0000
  16.29194     400000     1c0000
  16.29222     400000     1c0000
  16.29250     400000     1c0000
  16.29278     400000     1c0000
  16.29305     400000     1c0000
  16.29333     400000     1c0000
  16.29361     400000     1c0000
  16.29389     400000     1c0000
  16.29417     400000     1c0000
  16.29444     400000     1c0000
  16.29472     400000     1c0000
  16.29500     400000     1c0000
  16.29528     400000     1c0000
  16.29556     400000     1c0000
  16.29583     400000     1c0000
  16.29611     400000     1c0000
  16.29639     400000     1c0000
  16.29667     400000     1c0000
  16.29694     400000     1c0000
  16.29722     400000     1c0000
  16.29750     400000     1c0000
  16.29778     400000     1c0000
  16.29806     400000     1c0000
  16.29833     400000     1c0000
  16.29861     400000     1c0000
  16.29889     400000     1c0000
  16.29917     400000     1c0000
  16.29944     400000     1c0000
  16.29972     400000     1c0000
  16.30000     400000     1c0000
  16.30028     400000     1c0000
  16.30055     400000     1c0000
  16.30083     400000     1c0000
  16.30111     400000     1c0000
  16.30139     400000     1c0000
  16.30167     400000     1c0000
  16.30194     400000     1c0000
  16.30222     400000     1c0000
  16.30250     400000     1c0000
  16.30278     400000     1c0000
  16.30305     400000     1c0000
  16.30333     400000     1c0000
  16.30361     400000     1c0000
  16.30389     400000     1c0000
  16.30417     400000     1c0000
  16.30444     400000     1c0000
  16.30472     400000     1c0000
  16.30500     400000     1c0000
  16.30528     400000     1c0000
  16.30556     400000     1c0000
  16.30583     400000     1c0000
  16.30611     400000     1c0000
  16.30639     400000     1c0000
  16.30667     400000     1c0000
  16.30694     400000     1c0000
  16.30722     400000     1c0000
  16.30750     400000     1c0000
  16.30778     400000     1c0000
  16.30805     400000     1c0000
  16.30833     400000     1c0000
  16.30861     400000     1c0000
  16.30889     400000     1c0000
  16.30917     400000     1c0000
  16.30944     400000     1c0000
  16.30972     400000     1c0000
  16.31000     400000     1c0000
  16.31028     400000     1c0000
  16.31055     400000     1c0000
  16.31083     400000     1c0000
  16.31111     400000     1c0000
  16.31139     400000     1c0000
  16.31167     400000     1c0000
  16.31194     400000     1c0000
  16.31222     400000     1c0000
  16.31250     400000     1c0000
  16.31278     400000     1c0000
  16.31306     400000     1c0000
  16.31333     400000     1c0000
  16.31361     400000     1c0000
  16.31389     400000     1c0000
  16.31417     400000     1c0000
  16.31444     400000     1c0000
  16.31472     400000     1c0000
  16.31500     400000     1c0000
  16.31528     400000     1c0000
  16.31556     400000     1c0000
  16.31583     400000     1c0000
  16.31611     400000     1c0000
  16.31639     400000     1c0000
  16.31667     400000     1c0000
  16.31695     400000     1c0000
  16.31722     400000     1c0000
  16.31750     400000     1c0000
  16.31778     400000     1c0000
  16.31806     400000     1c0000
  16.31833     400000     1c0000
  16.31861     400000     1c0000
  16.31889     400000     1c0000
  16.31917     400000     1c0000
  16.31944     400000     1c0000
  16.31972     400000     1c0000
  16.32000     400000     1c0000
  16.32028     400000     1c0000
  16.32056     400000     1c0000
  16.32084     400000     1c0000
  16.32111     400000     1c0000
  16.32139     400000     1c0000
  16.32167     400000     1c0000
  16.32195     400000     1c0000
  16.32222     400000     1c0000
  16.32250     400000     1c0000
  16.32278     400000     1c0000
  16.32306     400000     1c0000
  16.32333     400000     1c0000
  16.32361     400000     1c0000
  16.32389     400000     1c0000
  16.32417     400000     1c0000
  16.32445     400000     1c0000
  16.32472     400000     1c0000
  16.32500     400000     1c0000
  16.32528     400000     1c0000
  16.32556     400000     1c0000
  16.32583     400000     1c0000
  16.32611     400000     1c0000
  16.32639     400000     1c0000
  16.32667     400000     1c0000
  16.32695     400000     1c0000
  16.32722     400000     1c0000
  16.32750     400000     1c0000
  16.32778     400000     1c0000
  16.32806     400000     1c0000
  16.32833     400000     1c0000
  16.32861     400000     1c0000
  16.32889     400000     1c0000
  16.32917     400000     1c0000
  16.32944     400000     1c0000
  16.32972     400000     1c0000
  16.33000     400000     1c0000
  16.33028     400000     1c0000
  16.33056     400000     1c0000
  16.33083     400000     1c0000
  16.33111     400000     1c0000
  16.33139     400000     1c0000
  16.33167     400000     1c0000
  16.33195     400000     1c0000
  16.33222     400000     1c0000
  16.33250     400000     1c0000
  16.33278     400000     1c0000
  16.33306     400000     1c0000
  16.33333     400000     1c0000
  16.33361     400000     1c0000
  16.33389     400000     1c0000
  16.33417     400000     1c0000
  16.33445     400000     1c0000
  16.33472     400000     1c0000
  16.33500     400000     1c0000
  16.33528     400000     1c0000
  16.33556     400000     1c0000
  16.33583     400000     1c0000
  16.33611     400000     1c0000
  16.33639     400000     1c0000
  16.33667     400000     1c0000
  16.33694     400000     1c0000
  16.33722     400000     1c0000
  16.33750     400000     1c0000
  16.33778     400000     1c0000
  16.33806     400000     1c0000
  16.33833     400000     1c0000
  16.33861     400000     1c0000
  16.33889     400000     1c0000
  16.33917     400000     1c0000
  16.33945     400000     1c0000
  16.33972     400000     1c0000
  16.34000     400000     1c0000
  16.34028     400000     1c0000
  16.34056     400000     1c0000
